,Class ID,Preferred Label,Synonyms,Definitions,Parents
224,http://edamontology.org/data_1071,Structural (3D) profile ID,Structural profile identifier,Identifier or name of a structural (3D) profile or template (representing a structure or structure alignment).,http://edamontology.org/data_0976
225,http://edamontology.org/data_1072,Structure alignment ID,,Identifier of an entry from a database of tertiary structure alignments.,http://edamontology.org/data_0976
226,http://edamontology.org/data_1073,Amino acid index ID,,Identifier of an index of amino acid physicochemical and biochemical property data.,http://edamontology.org/data_0976|http://edamontology.org/data_3036
227,http://edamontology.org/data_1074,Protein interaction ID,Molecular interaction ID,Identifier of a report of protein interactions from a protein interaction database (typically).,http://edamontology.org/data_0976
228,http://edamontology.org/data_1075,Protein family identifier,Protein secondary database record identifier,Identifier of a protein family.,http://edamontology.org/data_0976
229,http://edamontology.org/data_1076,Codon usage table name,,Unique name of a codon usage table.,http://edamontology.org/data_2111|http://edamontology.org/data_2099
230,http://edamontology.org/data_1077,Transcription factor identifier,,Identifier of a transcription factor (or a TF binding site).,http://edamontology.org/data_0989|http://edamontology.org/data_0976
231,http://edamontology.org/data_1078,Experiment annotation ID,,Identifier of an entry from a database of microarray data.,http://edamontology.org/data_0976
232,http://edamontology.org/data_1079,Electron microscopy model ID,,Identifier of an entry from a database of electron microscopy data.,http://edamontology.org/data_0976
233,http://edamontology.org/data_1080,Gene expression report ID,Gene expression profile identifier,Accession of a report of gene expression (e.g. a gene expression profile) from a database.,http://edamontology.org/data_0976
234,http://edamontology.org/data_1081,Genotype and phenotype annotation ID,,Identifier of an entry from a database of genotypes and phenotypes.,http://edamontology.org/data_0976
235,http://edamontology.org/data_1082,Pathway or network identifier,,Identifier of an entry from a database of biological pathways or networks.,http://edamontology.org/data_0976
236,http://edamontology.org/data_1083,Workflow ID,,"Identifier of a biological or biomedical workflow, typically from a database of workflows.",http://edamontology.org/data_0976
237,http://edamontology.org/data_1084,Data resource definition ID,Data resource definition identifier,Identifier of a data type definition from some provider.,http://edamontology.org/data_0976
238,http://edamontology.org/data_1085,Biological model ID,Biological model identifier,"Identifier of a mathematical model, typically an entry from a database.",http://edamontology.org/data_0976
239,http://edamontology.org/data_1086,Compound identifier,Small molecule identifier|Chemical compound identifier|Compound ID,Identifier of an entry from a database of chemicals.,http://edamontology.org/data_0982
240,http://edamontology.org/data_1087,Ontology concept ID,,A unique (typically numerical) identifier of a concept in an ontology of biological or bioinformatics concepts and relations.,http://edamontology.org/data_3025
241,http://edamontology.org/data_1088,Article ID,Article identifier,Unique identifier of a scientific article.,http://edamontology.org/data_0976
242,http://edamontology.org/data_1089,FlyBase ID,,Identifier of an object from the FlyBase database.,http://edamontology.org/data_2091|http://edamontology.org/data_2109
243,http://edamontology.org/data_1091,WormBase name,,"Name of an object from the WormBase database, usually a human-readable name.",http://edamontology.org/data_2099|http://edamontology.org/data_2113
244,http://edamontology.org/data_1092,WormBase class,,Class of an object from the WormBase database.|A WormBase class describes the type of object such as 'sequence' or 'protein'.,http://edamontology.org/data_2113
245,http://edamontology.org/data_1093,Sequence accession,Sequence accession number,"A persistent, unique identifier of a molecular sequence database entry.",http://edamontology.org/data_1063
247,http://edamontology.org/data_1095,EMBOSS Uniform Sequence Address,EMBOSS USA,The name of a sequence-based entity adhering to the standard sequence naming scheme used by all EMBOSS applications.,http://edamontology.org/data_1063|http://edamontology.org/data_2099
248,http://edamontology.org/data_1096,Sequence accession (protein),Protein sequence accession number,Accession number of a protein sequence database entry.,http://edamontology.org/data_1093
249,http://edamontology.org/data_1097,Sequence accession (nucleic acid),Nucleotide sequence accession number,Accession number of a nucleotide sequence database entry.,http://edamontology.org/data_1093
250,http://edamontology.org/data_1098,RefSeq accession,RefSeq ID,Accession number of a RefSeq database entry.,http://edamontology.org/data_2362|http://edamontology.org/data_2091
252,http://edamontology.org/data_1100,PIR identifier,PIR ID|PIR accession number,An identifier of PIR sequence database entry.,http://edamontology.org/data_1096|http://edamontology.org/data_2091
254,http://edamontology.org/data_1102,Gramene primary identifier,Gramene primary ID,Primary identifier of a Gramene database entry.,http://edamontology.org/data_2915
255,http://edamontology.org/data_1103,EMBL/GenBank/DDBJ ID,,Identifier of a (nucleic acid) entry from the EMBL/GenBank/DDBJ databases.,http://edamontology.org/data_1097|http://edamontology.org/data_2091
256,http://edamontology.org/data_1104,Sequence cluster ID (UniGene),UniGene cluster ID|UniGene identifier|UniGene ID,A unique identifier of an entry (gene cluster) from the NCBI UniGene database.,http://edamontology.org/data_2091|http://edamontology.org/data_1112
257,http://edamontology.org/data_1105,dbEST accession,dbEST ID,Identifier of a dbEST database entry.,http://edamontology.org/data_2728|http://edamontology.org/data_2292|http://edamontology.org/data_2091
258,http://edamontology.org/data_1106,dbSNP ID,dbSNP identifier,Identifier of a dbSNP database entry.,http://edamontology.org/data_2294|http://edamontology.org/data_2091
261,http://edamontology.org/data_1112,Sequence cluster ID,,An identifier of a cluster of molecular sequence(s).,http://edamontology.org/data_1064
262,http://edamontology.org/data_1113,Sequence cluster ID (COG),COG ID,Unique identifier of an entry from the COG database.,http://edamontology.org/data_2091|http://edamontology.org/data_1112
263,http://edamontology.org/data_1114,Sequence motif identifier,,"Identifier of a sequence motif, for example an entry from a motif database.",http://edamontology.org/data_0976
264,http://edamontology.org/data_1115,Sequence profile ID,,Identifier of a sequence profile.|A sequence profile typically represents a sequence alignment.,http://edamontology.org/data_0976
